Date and time,Temperature (K),Weather description
2026-08-27 12:00:00,299.42,light rain
2026-08-27 15:00:00,301.46,broken clouds
2026-08-27 18:00:00,299.98,overcast clouds
2026-08-27 21:00:00,298.86,broken clouds
2026-08-28 00:00:00,297.4,broken clouds
2026-08-28 03:00:00,296.68,scattered clouds
2026-08-28 06:00:00,297.18,scattered clouds
2026-08-28 09:00:00,303.55,broken clouds
2026-08-28 12:00:00,305.51,broken clouds
2026-08-28 15:00:00,305.26,scattered clouds
2026-08-28 18:00:00,299.97,scattered clouds
2026-08-28 21:00:00,297.73,scattered clouds
2026-08-29 00:00:00,296.21,broken clouds
2026-08-29 03:00:00,295.65,broken clouds
2026-08-29 06:00:00,295.08,overcast clouds
2026-08-29 09:00:00,301.67,clear sky
2026-08-29 12:00:00,303.97,clear sky
2026-08-29 15:00:00,303.26,broken clouds
2026-08-29 18:00:00,293.73,broken clouds
2026-08-29 21:00:00,290.74,broken clouds
2026-08-30 00:00:00,291.24,broken clouds
2026-08-30 03:00:00,291.12,clear sky
2026-08-30 06:00:00,293.05,clear sky
2026-08-30 09:00:00,299.33,few clouds
2026-08-30 12:00:00,302.53,few clouds
2026-08-30 15:00:00,303.36,few clouds
2026-08-30 18:00:00,296.52,few clouds
2026-08-30 21:00:00,293.74,clear sky
2026-08-31 00:00:00,293.21,clear sky
2026-08-31 03:00:00,292.72,few clouds
2026-08-31 06:00:00,294.92,clear sky
2026-08-31 09:00:00,302.13,scattered clouds
2026-08-31 12:00:00,305.03,scattered clouds
2026-08-31 15:00:00,302.61,broken clouds
2026-08-31 18:00:00,297.61,broken clouds
2026-08-31 21:00:00,294.16,clear sky
2026-09-01 00:00:00,294.03,clear sky
2026-09-01 03:00:00,293.59,clear sky
2026-09-01 06:00:00,295.39,clear sky
2026-09-01 09:00:00,302.3,clear sky
